case_id,capex_group,capex_multiplier,status
WIND_050,WIND,0.5,optimal
WIND_075,WIND,0.75,optimal
WIND_100,WIND,1.0,optimal
WIND_125,WIND,1.25,optimal
WIND_150,WIND,1.5,optimal
PV_050,PV,0.5,optimal
PV_075,PV,0.75,optimal
PV_100,PV,1.0,optimal
PV_125,PV,1.25,optimal
PV_150,PV,1.5,optimal
BATTERY_050,BATTERY,0.5,optimal
BATTERY_075,BATTERY,0.75,optimal
BATTERY_100,BATTERY,1.0,optimal
BATTERY_125,BATTERY,1.25,optimal
BATTERY_150,BATTERY,1.5,optimal
ELECTROLYZER_050,ELECTROLYZER,0.5,optimal
ELECTROLYZER_075,ELECTROLYZER,0.75,optimal
ELECTROLYZER_100,ELECTROLYZER,1.0,optimal
ELECTROLYZER_125,ELECTROLYZER,1.25,optimal
ELECTROLYZER_150,ELECTROLYZER,1.5,optimal
H2_STORAGE_050,H2_STORAGE,0.5,optimal
H2_STORAGE_075,H2_STORAGE,0.75,optimal
H2_STORAGE_100,H2_STORAGE,1.0,optimal
H2_STORAGE_125,H2_STORAGE,1.25,optimal
H2_STORAGE_150,H2_STORAGE,1.5,optimal
FUEL_CELL_050,FUEL_CELL,0.5,optimal
FUEL_CELL_075,FUEL_CELL,0.75,optimal
FUEL_CELL_100,FUEL_CELL,1.0,optimal
FUEL_CELL_125,FUEL_CELL,1.25,optimal
FUEL_CELL_150,FUEL_CELL,1.5,optimal
HEAT_PUMP_050,HEAT_PUMP,0.5,optimal
HEAT_PUMP_075,HEAT_PUMP,0.75,optimal
HEAT_PUMP_100,HEAT_PUMP,1.0,optimal
HEAT_PUMP_125,HEAT_PUMP,1.25,optimal
HEAT_PUMP_150,HEAT_PUMP,1.5,optimal
